lsoa11cd,apgroup_num,apgroup_name
E01018667,124,E01018667
W01000753,125,W01000753
E01009723,126,E01009723
E01017969,127,E01017969
E01023008,128,E01023008
E01018924,129,E01018924
E01028170,130,E01028170
E01020595,131,E01020595
E01006629,132,E01006629
E01020658,133,E01020658
W01001819,134,W01001819
E01005775,135,E01005775
E01023901,136,E01023901
E01017062,137,E01017062
E01012978,138,E01012978
E01032197,139,E01032197
E01024578,140,E01024578
E01010692,141,E01010692
E01032681,142,E01032681
W01001814,143,W01001814
E01019720,144,E01019720
E01032442,145,E01032442
E01027069,146,E01027069
E01020913,147,E01020913
W01001083,148,W01001083
E01030596,149,E01030596
E01018622,150,E01018622
E01008709,151,E01008709
E01031217,152,E01031217
E01006835,153,E01006835
E01027964,154,E01027964
E01027066,155,E01027066
E01012974,156,E01012974
E01005681,157,E01005681
E01004294,158,E01004294
E01020613,159,E01020613
E01013260,160,E01013260
E01005260,161,E01005260
E01015267,162,E01015267
E01011201,163,E01011201
E01011280,164,E01011280
E01021285,165,E01021285
E01005263,166,E01005263
E01021204,167,E01021204
E01011200,168,E01011200
E01015266,169,E01015266
E01011281,170,E01011281
W01000742,171,W01000742
E01014381,172,E01014381
E01016360,173,E01016360
E01005262,174,E01005262
E01021207,175,E01021207
E01008365,176,E01008365
E01018367,177,E01018367
E01011203,178,E01011203
E01013263,179,E01013263
E01014303,180,E01014303
E01024305,181,E01024305
E01014382,182,E01014382
E01024384,183,E01024384
E01008364,184,E01008364
E01016363,185,E01016363
E01006361,186,E01006361
E01018366,187,E01018366
E01014302,188,E01014302
E01024304,189,E01024304
E01014383,190,E01014383
E01024385,191,E01024385
E01021284,192,E01021284
E01003268,193,E01003268
E01021205,194,E01021205
E01005261,195,E01005261
E01030319,196,E01030319
E01030398,197,E01030398
W01000991,198,W01000991
W01000910,199,W01000910
E01008362,200,E01008362
E01024302,201,E01024302
E01030318,202,E01030318
E01014300,203,E01014300
E01024383,204,E01024383
E01030399,205,E01030399
E01021016,206,E01021016
W01000992,207,W01000992
E01013075,208,E01013075
W01000913,209,W01000913
W01000554,210,W01000554
E01021097,211,E01021097
E01013074,212,E01013074
E01027029,213,E01027029
E01027028,214,E01027028
W01000557,215,W01000557
E01024378,216,E01024378
W01000990,217,W01000990
W01000555,218,W01000555
E01021096,219,E01021096
W01000937,220,W01000937
W01000934,221,W01000934
E01030331,222,E01030331
W01000936,223,W01000936
E01030333,224,E01030333
E01030330,225,E01030330
E01030335,226,E01030335
E01030332,227,E01030332
W01000935,228,W01000935
W01000932,229,W01000932
E01002463,230,E01002463
E01007129,231,E01007129
E01026947,232,E01026947
E01000143,233,E01000143
E01019850,234,E01019850
E01033258,235,E01033258
E01023752,236,E01023752
E01010011,237,E01010011
E01010295,238,E01010295
